date t temp ph ox ortp nh4 no silica cod bod phyto chla chlor dyno chrys crip daph eudi cyc daph_lit light ortp_krivica ortp_misca ortp_radovna q_jezernica q_krivica q_misca q_radovna q_natega diat light_m
36626 730586 8.518116212 7.962127191 13.95663565 0.011336711 0.017950223 0.939271202 0.820272808 1.835504109 3.795245433 4.761372373835691 0.010970022 0.044552156 0.094152638 1.524303526 0.152629022 0.000392099 0.026607129 1.468944873 0.013723462 239.8158 0.039039676 0.072899513 0.010284717 13046.4 1382.4 15465.6 34560 22550.4 2.666 251.11296
36627 730587 8.660859157 7.978565578 13.98171918 0.011642012 0.017648763 0.931170072 0.794304322 1.858321257 3.94381159 4.737188458232902 0.011121117 0.042550605 0.101668472 1.556797113 0.180042978 0.000407717 0.024748427 1.555423876 0.014270094 241.7688 0.039368635 0.072593239 0.010572555 18835.2 1382.4 15465.6 34560 22550.4 2.5865 268.93944
36628 730588 8.804812072 7.995950442 14.00587861 0.011966701 0.017348538 0.923209449 0.768514177 1.881593251 4.09776968 4.711831946864086 0.011275554 0.040552746 0.109762647 1.588993761 0.2097324 0.000425286 0.022918416 1.649399819 0.014885007 243.7092 0.039676647 0.072289286 0.010842066 34041.6 1900.8 15465.6 34560 22550.4 2.5002 264.92508
36629 730589 8.949829658 8.01412575 14.02909619 0.012307711 0.017050681 0.915388303 0.742986253 1.905183423 4.256003709 4.684219091491284 0.011432398 0.038566511 0.1183834 1.620786733 0.241372222 0.000444775 0.021122112 1.749922382 0.015567116 245.637 0.039960491 0.071988144 0.01109043 41990.4 1900.8 17884.8 34560 22550.4 2.4078 274.45068
36630 730590 9.095766614 8.032935468 14.05135417 0.012661975 0.016756323 0.907705602 0.717804428 1.928955102 4.417397682 4.635965896991237 0.011590713 0.036599835 0.12747897 1.652069293 0.274637378 0.000466152 0.019364532 1.856041241 0.016315336 247.5648 0.040216945 0.071690303 0.011314827 34041.6 1382.4 15465.6 34560 22550.4 2.3103 136.32948
36631 730591 9.242477641 8.052223563 14.07263483 0.013026428 0.016466595 0.900160314 0.693052579 1.95277162 4.580835605 4.589941779428076 0.011749562 0.034660649 0.136997595 1.682734704 0.3092028 0.000489388 0.017650693 1.966806074 0.017128583 249.4926 0.040442785 0.071396252 0.011512437 34041.6 1382.4 15465.6 34560 22550.4 2.2087 240.27192
36632 730592 9.389817438 8.071834 14.0929204 0.013398004 0.01618263 0.892751407 0.668814586 1.976496308 4.745201484 4.563269009208376 0.011908011 0.032756888 0.146887513 1.712676231 0.344743422 0.000514451 0.015985611 2.081266557 0.018005771 251.4078 0.040634789 0.071106482 0.01168044 25574.4 1382.4 15465.6 34560 22550.4 2.1037 279.46296
36633 730593 9.537640706 8.091610746 14.11219315 0.013773635 0.015905558 0.88547785 0.645174326 1.999992495 4.909379323 4.533393864780619 0.012065124 0.030896483 0.157096962 1.741787135 0.380934178 0.000541309 0.014374301 2.198472369 0.018945816 253.3104 0.040789735 0.070821482 0.011816018 18835.2 1382.4 15465.6 34560 22550.4 1.9962 199.17576
36634 730594 9.685802143 8.111397768 14.13043532 0.014150256 0.015636512 0.878338611 0.622215678 2.023123513 5.072253129 4.48066503707746 0.012219964 0.029087369 0.16757418 1.769960681 0.41745 0.000569932 0.012821782 2.317473186 0.019947634 255.213 0.040904401 0.070541741 0.011916351 18835.2 1382.4 15465.6 34560 22550.4 1.8872 138.6882
36635 730595 9.83415645 8.131039033 14.14762919 0.014524801 0.015376623 0.871332658 0.60002252 2.045752692 5.232706908 4.40797508910863 0.012371596 0.027337478 0.178267406 1.797090132 0.453965822 0.00060029 0.011333069 2.437318686 0.021010139 257.103 0.040975563 0.070267751 0.011978618 29376 1382.4 15465.6 34560 22550.4 1.7775 102.7404
